asset_id,location,install_year,last_maintenance_year,usage_hours_per_month,failure_count,condition_score,maintenance_cost_last_year,asset_type,operational_state,disposal_decision
A0001,ZoneY,2002,2008,83.49,3,0.7601205460329701,301.54,Transformer,Obsolete,Discard
A0002,SiteA,2008,2015,87.63,2,0.583929930842006,724.21,Meter,Obsolete,Recycle
A0003,SiteB,2003,2012,92.47,6,0.4495502161951355,228.74,Transformer,Obsolete,Sell
A0004,ZoneX,2011,2012,119.94,2,0.3916276171329449,1392.54,Transformer,Obsolete,Sell
A0005,ZoneX,2016,2017,58.66,1,0.658227945441001,787.77,Transformer,Degraded,Recycle
A0006,SiteA,2002,2008,116.93,6,0.8814637033079786,225.34,Meter,Obsolete,Sell
A0007,SiteB,2015,2017,59.0,3,0.3815336683103036,795.62,Transformer,Obsolete,Recycle
A0008,ZoneY,2017,2023,66.81,4,0.2016731234863795,1088.83,Meter,Obsolete,Discard
A0009,ZoneX,2001,2009,146.14,2,0.5507072029404374,1451.93,Sensor,Obsolete,Sell
A0010,SiteA,2005,2009,83.97,2,0.1384004385136592,1646.61,Sensor,Obsolete,Discard
A0011,ZoneY,2019,2022,134.75,5,0.7509401711520599,212.51,Meter,Degraded,Recycle
A0012,SiteA,2014,2021,60.7,2,0.8132486063704838,316.81,Sensor,Degraded,Retain
A0013,SiteB,2002,2011,56.24,3,0.1930240082825068,1834.88,Meter,Obsolete,Discard
A0014,ZoneX,2001,2003,110.14,3,0.6724681183298457,1970.16,Sensor,Obsolete,Discard
A0015,SiteB,2022,2025,81.43,1,0.2591848640338117,1263.61,Meter,Obsolete,Sell
A0016,SiteB,2022,2025,100.27,2,0.3222929822565081,813.92,Sensor,Obsolete,Recycle
A0017,ZoneY,2010,2018,95.17,3,0.3546710179216776,701.97,Transformer,Obsolete,Recycle
A0018,ZoneX,2006,2008,104.57,5,0.6964589982602788,1187.72,Transformer,Obsolete,Discard
A0019,ZoneX,2015,2020,104.52,1,0.59129933271364,1497.69,Sensor,Degraded,Recycle
A0020,SiteA,2012,2012,66.63,3,0.5472707937685372,981.91,Sensor,Degraded,Retain
A0021,ZoneX,2014,2018,182.03,3,0.7393788889104492,1917.07,Transformer,Degraded,Retain
A0022,SiteA,2006,2010,114.47,7,0.4154110806867344,870.84,Sensor,Obsolete,Sell
A0023,SiteA,2022,2025,105.2,2,0.5596600386546907,1533.38,Transformer,Degraded,Recycle
A0024,ZoneY,2009,2009,65.71,3,0.2476209691908561,209.33,Sensor,Obsolete,Sell
A0025,ZoneY,2017,2020,117.13,5,0.6904499411244704,715.77,Sensor,Degraded,Recycle
A0026,SiteA,2003,2012,83.96,2,0.9051956690643536,688.78,Transformer,Obsolete,Sell
A0027,ZoneX,2022,2025,136.31,3,0.49117785357074,1539.28,Meter,Degraded,Recycle
A0028,SiteA,2022,2025,85.41,0,0.1496238444242748,650.44,Transformer,Obsolete,Discard
A0029,SiteB,2014,2019,128.36,5,0.4999264111523256,408.93,Sensor,Degraded,Recycle
A0030,ZoneY,2011,2015,78.77,1,0.2302565519097901,286.51,Sensor,Obsolete,Recycle
A0031,ZoneY,2019,2024,86.8,5,0.5648009720761278,1892.41,Transformer,Degraded,Retain
A0032,ZoneY,2011,2018,101.83,3,0.3906494888770466,572.03,Meter,Obsolete,Recycle
A0033,SiteB,2014,2015,103.31,4,0.1712059174986469,1885.97,Sensor,Obsolete,Discard
A0034,ZoneY,2016,2023,98.8,3,0.5225471798812953,869.63,Meter,Degraded,Recycle
A0035,ZoneX,2016,2022,131.31,4,0.6073248030188817,735.74,Meter,Degraded,Retain
A0036,ZoneY,2000,2002,197.62,1,0.585084810842511,1337.31,Transformer,Obsolete,Recycle
A0037,ZoneY,2012,2016,106.06,4,0.2695643886958468,1706.53,Meter,Obsolete,Discard
A0038,SiteB,2015,2015,87.0,2,0.347798539608219,1974.8,Meter,Obsolete,Sell
A0039,SiteB,2011,2014,85.68,3,0.1824177762734596,656.63,Sensor,Obsolete,Sell
A0040,SiteB,2003,2004,79.53,1,0.3976969585348178,874.77,Transformer,Obsolete,Discard
A0041,ZoneY,2011,2011,145.98,1,0.7563223276903598,780.84,Transformer,Degraded,Retain
A0042,SiteA,2016,2021,125.31,1,0.4562378071714299,1847.46,Sensor,Degraded,Recycle
A0043,SiteB,2004,2013,145.77,5,0.1248682752961797,1953.91,Transformer,Obsolete,Sell
A0044,ZoneX,2022,2025,151.83,1,0.2036492984448007,1854.52,Sensor,Obsolete,Sell
A0045,ZoneY,2008,2017,119.47,2,0.5422525182507768,470.75,Transformer,Obsolete,Recycle
A0046,SiteB,2023,2025,81.53,2,0.6859920543128958,1549.84,Meter,Degraded,Recycle
A0047,ZoneY,2021,2023,85.47,5,0.1549298595943123,844.69,Sensor,Obsolete,Recycle
A0048,SiteA,2009,2016,99.95,5,0.5304311294168615,1612.4,Meter,Obsolete,Sell
A0049,ZoneY,2015,2016,176.18,7,0.3026002202249832,736.33,Transformer,Obsolete,Sell
A0050,SiteB,2007,2016,48.9,4,0.4219784152273317,822.2,Transformer,Obsolete,Recycle
A0051,ZoneX,2007,2009,71.8,5,0.5061902395784186,1161.96,Sensor,Obsolete,Recycle
A0052,ZoneX,2014,2023,63.45,1,0.5183880613606504,204.67,Sensor,Degraded,Recycle
A0053,SiteB,2022,2025,101.25,3,0.9231418646229452,1032.56,Meter,Degraded,Recycle
A0054,ZoneY,2021,2025,117.3,2,0.8628553927808975,879.11,Transformer,Active,Retain
A0055,ZoneX,2009,2018,106.1,2,0.1540618529097225,839.19,Transformer,Obsolete,Sell
A0056,ZoneX,2017,2025,73.78,4,0.2837697640929415,840.97,Meter,Obsolete,Recycle
A0057,SiteB,2019,2024,60.71,2,0.5377370188052467,713.17,Sensor,Degraded,Retain
A0058,ZoneX,2020,2025,24.92,2,0.5768636898542123,507.6,Transformer,Degraded,Recycle
A0059,ZoneY,2011,2013,108.21,5,0.7627441211012798,1582.0,Meter,Degraded,Recycle
A0060,ZoneX,2022,2025,65.83,2,0.6698070964289494,1568.41,Transformer,Degraded,Recycle
A0061,ZoneY,2000,2007,122.81,3,0.4884705022481415,1498.87,Sensor,Obsolete,Recycle
A0062,ZoneY,2013,2020,62.74,5,0.58496664853843,1429.37,Sensor,Degraded,Recycle
A0063,SiteA,2020,2025,38.86,4,0.1844303780971188,1323.63,Sensor,Obsolete,Sell
A0064,SiteA,2005,2007,33.67,4,0.3247047058018854,1995.85,Sensor,Obsolete,Discard
A0065,SiteA,2012,2020,67.26,1,0.2571989583870975,1678.26,Meter,Obsolete,Discard
A0066,SiteA,2004,2007,110.01,4,0.7900279690224449,1217.92,Meter,Obsolete,Sell
A0067,ZoneX,2017,2025,76.79,3,0.2142141346651339,232.6,Sensor,Obsolete,Discard
A0068,SiteB,2011,2014,179.31,2,0.5823365428516435,339.18,Transformer,Degraded,Recycle
A0069,SiteA,2020,2025,90.12,1,0.6821352375143147,1294.21,Transformer,Degraded,Retain
A0070,ZoneX,2017,2025,67.02,4,0.7147890735734612,1065.51,Transformer,Degraded,Recycle
A0071,SiteA,2017,2017,86.7,3,0.3431021032720516,596.17,Sensor,Obsolete,Sell
A0072,SiteA,2008,2009,79.05,3,0.3628477397204954,1271.69,Meter,Obsolete,Recycle
A0073,ZoneX,2014,2020,140.49,3,0.8021321502251926,1149.77,Transformer,Degraded,Retain
A0074,ZoneX,2009,2014,121.03,3,0.6036468369228212,687.34,Sensor,Obsolete,Sell
A0075,SiteA,2003,2004,89.14,3,0.3619293053930309,387.4,Transformer,Obsolete,Sell
A0076,SiteA,2012,2016,66.13,2,0.5282649010012375,1694.4,Transformer,Degraded,Recycle
A0077,ZoneY,2014,2017,49.2,2,0.1543338064632607,1324.57,Meter,Obsolete,Sell
A0078,ZoneY,2020,2025,128.75,2,0.2513014717605057,1749.92,Transformer,Obsolete,Discard
A0079,ZoneY,2023,2025,129.15,2,0.2056484479816307,450.84,Meter,Obsolete,Sell
A0080,ZoneX,2004,2007,120.17,4,0.6896794615978012,929.45,Transformer,Obsolete,Recycle
A0081,ZoneX,2015,2020,85.93,0,0.3394051252144978,515.67,Sensor,Obsolete,Sell
A0082,ZoneY,2011,2011,147.11,3,0.7308323035637833,641.63,Sensor,Degraded,Retain
A0083,ZoneX,2002,2006,93.25,6,0.6438217549442664,1714.75,Transformer,Obsolete,Recycle
A0084,SiteA,2005,2005,48.41,4,0.6004761272366188,982.69,Transformer,Obsolete,Discard
A0085,SiteB,2002,2008,129.57,4,0.27035541423083,1503.39,Meter,Obsolete,Sell
A0086,ZoneX,2019,2024,138.58,4,0.4160843507279703,1200.45,Sensor,Degraded,Retain
A0087,ZoneY,2013,2018,67.57,8,0.7462232916355592,1453.32,Sensor,Obsolete,Recycle
A0088,ZoneY,2016,2023,90.72,4,0.5599886147814391,1778.0,Sensor,Degraded,Retain
A0089,SiteB,2020,2021,121.4,5,0.5993599099294805,1527.65,Sensor,Degraded,Recycle
A0090,SiteA,2012,2012,143.6,1,0.5118094061086648,232.17,Meter,Degraded,Recycle
A0091,ZoneY,2013,2021,92.65,3,0.2042517668221923,1538.04,Transformer,Obsolete,Sell
A0092,SiteA,2000,2003,106.23,4,0.4756733183871803,1603.25,Meter,Obsolete,Discard
A0093,SiteB,2008,2013,115.46,3,0.3633677672197132,262.76,Sensor,Obsolete,Discard
A0094,ZoneY,2002,2005,80.02,2,0.4500952184894919,1751.83,Sensor,Obsolete,Sell
A0095,SiteA,2005,2013,115.2,3,0.451464744468772,397.04,Sensor,Obsolete,Recycle
A0096,SiteA,2022,2025,81.07,3,0.3802829981959494,1756.09,Meter,Obsolete,Discard
A0097,SiteB,2019,2019,107.2,9,0.5890728034647995,1538.31,Meter,Obsolete,Discard
A0098,ZoneX,2014,2015,104.4,3,0.8840080013125842,667.65,Transformer,Degraded,Retain
A0099,SiteA,2015,2022,93.36,1,0.6055377484340039,1556.66,Transformer,Degraded,Retain
A0100,SiteA,2014,2019,133.22,2,0.8399523713356299,822.59,Meter,Degraded,Retain
A0101,ZoneY,2014,2023,160.61,2,0.1965522863688509,201.85,Transformer,Obsolete,Recycle
A0102,ZoneY,2013,2014,86.29,4,0.4460397379791285,1424.9,Meter,Degraded,Retain
A0103,SiteA,2018,2023,112.93,5,0.7021886409862971,1486.86,Meter,Degraded,Recycle
A0104,SiteA,2007,2008,119.21,5,0.520881453849645,436.24,Meter,Obsolete,Sell
A0105,ZoneX,2001,2005,95.15,0,0.5255450623164861,605.97,Transformer,Obsolete,Recycle
A0106,SiteA,2017,2022,118.18,3,0.4494712128983534,1063.89,Transformer,Degraded,Retain
A0107,SiteB,2016,2021,130.71,2,0.3134184214144724,456.49,Meter,Obsolete,Recycle
A0108,ZoneX,2018,2023,87.9,3,0.9171547218466204,259.77,Transformer,Degraded,Recycle
A0109,ZoneY,2002,2005,58.44,4,0.2370251118867518,1303.3,Meter,Obsolete,Recycle
A0110,SiteB,2012,2020,126.41,6,0.3610608841784851,1358.44,Transformer,Obsolete,Recycle
A0111,ZoneY,2003,2011,93.34,5,0.1763117621914479,278.59,Meter,Obsolete,Recycle
A0112,SiteA,2019,2020,111.26,0,0.1141755943369221,346.75,Meter,Obsolete,Recycle
A0113,ZoneX,2003,2005,84.93,0,0.3577833868099281,1536.87,Transformer,Obsolete,Discard
A0114,ZoneY,2019,2022,96.68,6,0.5594844133434604,1627.32,Sensor,Obsolete,Sell
A0115,ZoneY,2019,2025,119.57,5,0.1407980521638401,645.02,Sensor,Obsolete,Recycle
