purchase_order_id,supplier_id,supplier_name,item_id,item_name,quantity,unit_cost,total_cost,order_date,expected_delivery,po_status
PO0001,SUP003,ABC Technologies,P109,Projector,42,20652.29,867396.18,2023-08-23,2023-09-01,Partially Delivered
PO0002,SUP004,Prime Supplies,P102,Printer,81,7603.48,615881.88,2023-10-13,2023-11-07,Ordered
PO0003,SUP010,Metro Distributors,P102,Printer,117,10106.18,1182423.06,2024-01-04,2024-01-27,Ordered
PO0004,SUP001,Metro Distributors,P111,Desktop,42,32370.06,1359542.52,2023-01-14,2023-01-23,Ordered
PO0005,SUP008,Smart Source,P105,Mouse,48,554.13,26598.24,2023-05-15,2023-05-24,Partially Delivered
PO0006,SUP006,Metro Distributors,P114,RAM,42,2882.82,121078.44,2023-04-16,2023-04-28,Ordered
PO0007,SUP001,National Electronics,P115,Headset,43,1682.4,72343.2,2024-03-03,2024-03-18,Partially Delivered
PO0008,SUP010,Metro Distributors,P107,Tablet,60,12119.05,727143.0,2023-02-28,2023-03-16,Cancelled
PO0009,SUP010,Bluechip Suppliers,P108,Scanner,127,6239.2,792378.4,2024-08-21,2024-08-29,Delivered
PO0010,SUP010,Global Components,P103,Monitor,28,6041.09,169150.52,2024-10-29,2024-11-08,Cancelled
PO0011,SUP001,Prime Supplies,P111,Desktop,28,29017.92,812501.76,2024-01-23,2024-02-16,Delivered
PO0012,SUP002,Apex Industrial,P102,Printer,17,7549.21,128336.57,2024-07-08,2024-07-21,Cancelled
PO0013,SUP004,Global Components,P107,Tablet,51,13095.52,667871.52,2023-03-25,2023-04-24,Cancelled
PO0014,SUP009,Vertex Traders,P108,Scanner,13,6653.1,86490.3,2024-01-11,2024-01-28,Cancelled
PO0015,SUP004,National Electronics,P114,RAM,110,2614.98,287647.8,2023-02-11,2023-02-28,Delivered
PO0016,SUP001,Reliable Systems,P102,Printer,141,9495.05,1338802.05,2024-01-06,2024-01-22,Partially Delivered
PO0017,SUP007,National Electronics,P113,SSD,75,3520.83,264062.25,2023-02-07,2023-02-26,Delivered
PO0018,SUP004,Apex Industrial,P111,Desktop,88,30718.71,2703246.48,2023-07-13,2023-08-09,Cancelled
PO0019,SUP003,Smart Source,P106,Router,12,2242.42,26909.04,2024-09-11,2024-09-28,Delivered
PO0020,SUP002,Reliable Systems,P103,Monitor,53,5324.82,282215.46,2024-03-20,2024-03-28,Delivered
PO0021,SUP006,Bluechip Suppliers,P105,Mouse,65,707.17,45966.05,2024-11-12,2024-11-21,Partially Delivered
PO0022,SUP001,Bluechip Suppliers,P105,Mouse,48,522.38,25074.24,2024-06-11,2024-07-02,Cancelled
PO0023,SUP004,Reliable Systems,P110,UPS,35,4631.83,162114.05,2024-02-22,2024-03-02,Ordered
PO0024,SUP006,Metro Distributors,P111,Desktop,107,26422.24,2827179.68,2023-07-25,2023-08-16,Delivered
