transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,daily_percent_change
1,24-11-2023,CUST001,Male,34,Beauty,3,50,150,66.66666667
2,27-02-2023,CUST002,Female,26,Clothing,2,500,1000,400.0
3,13-01-2023,CUST003,Male,50,Electronics,1,30,30,-70.0
4,21-05-2023,CUST004,Male,37,Clothing,1,500,500,-66.66666667
5,06-05-2023,CUST005,Male,30,Beauty,2,50,100,100.0
6,25-04-2023,CUST006,Female,45,Beauty,1,30,30,0.0
7,13-03-2023,CUST007,Male,46,Clothing,2,25,50,-66.66666667
8,22-02-2023,CUST008,Male,30,Electronics,4,25,100,100.0
9,13-12-2023,CUST009,Male,63,Electronics,2,300,600,1100.0
10,07-10-2023,CUST010,Female,52,Clothing,4,50,200,-80.0
11,14-02-2023,CUST011,Male,23,Clothing,2,50,100,33.33333333
12,30-10-2023,CUST012,Male,35,Beauty,3,25,75,-16.66666667
13,05-08-2023,CUST013,Male,22,Electronics,3,500,1500,25.0
14,17-01-2023,CUST014,Male,64,Clothing,4,30,120,380.0
15,16-01-2023,CUST015,Female,42,Electronics,4,500,2000,0.0
16,17-02-2023,CUST016,Male,19,Clothing,3,500,1500,1566.666667
17,22-04-2023,CUST017,Female,27,Clothing,4,25,100,100.0
18,30-04-2023,CUST018,Female,47,Electronics,2,25,50,66.66666667
19,16-09-2023,CUST019,Female,62,Clothing,2,25,50,-50.0
20,05-11-2023,CUST020,Male,22,Clothing,3,300,900,0.0
21,14-01-2023,CUST021,Female,50,Beauty,1,500,500,566.6666667
22,15-10-2023,CUST022,Male,18,Clothing,2,50,100,-50.0
23,12-04-2023,CUST023,Female,35,Clothing,4,30,120,0.0
24,29-11-2023,CUST024,Female,49,Clothing,1,300,300,-80.0
25,26-12-2023,CUST025,Female,64,Beauty,1,50,50,-75.0
26,07-10-2023,CUST026,Female,28,Electronics,2,500,1000,900.0
27,03-08-2023,CUST027,Female,38,Beauty,2,25,50,-83.33333333
28,23-04-2023,CUST028,Female,43,Beauty,1,500,500,1900.0
29,18-08-2023,CUST029,Female,42,Electronics,1,30,30,-70.0
30,29-10-2023,CUST030,Female,39,Beauty,3,300,900,-55.0
31,23-05-2023,CUST031,Male,44,Electronics,4,300,1200,-40.0
32,04-01-2023,CUST032,Male,30,Beauty,3,30,90,-40.0
33,23-03-2023,CUST033,Female,50,Electronics,2,50,100,-93.33333333
34,24-12-2023,CUST034,Female,51,Clothing,3,50,150,500.0
35,05-08-2023,CUST035,Female,58,Beauty,3,300,900,3500.0
36,24-06-2023,CUST036,Male,52,Beauty,3,300,900,1700.0
37,23-05-2023,CUST037,Female,18,Beauty,3,25,75,-93.75
38,21-03-2023,CUST038,Male,38,Beauty,4,50,200,-66.66666667
39,21-04-2023,CUST039,Male,23,Clothing,4,30,120,60.0
40,22-06-2023,CUST040,Male,45,Beauty,1,50,50,-66.66666667
41,22-02-2023,CUST041,Male,34,Clothing,2,25,50,-50.0
42,17-02-2023,CUST042,Male,22,Clothing,3,300,900,350.0
43,14-07-2023,CUST043,Female,48,Clothing,1,300,300,-85.0
44,19-02-2023,CUST044,Female,22,Clothing,1,25,25,-97.5
45,03-07-2023,CUST045,Female,55,Electronics,1,30,30,-98.0
46,26-06-2023,CUST046,Female,20,Electronics,4,300,1200,3900.0
47,06-11-2023,CUST047,Female,40,Beauty,3,500,1500,66.66666667
48,16-05-2023,CUST048,Male,54,Electronics,3,300,900,200.0
49,23-01-2023,CUST049,Female,54,Electronics,2,500,1000,233.3333333
50,24-08-2023,CUST050,Female,27,Beauty,3,25,75,150.0
51,02-10-2023,CUST051,Male,27,Beauty,3,25,75,-75.0
52,05-03-2023,CUST052,Female,36,Beauty,1,300,300,150.0
53,13-07-2023,CUST053,Male,34,Electronics,2,50,100,233.3333333
54,10-02-2023,CUST054,Female,38,Electronics,3,500,1500,1400.0
55,10-10-2023,CUST055,Male,31,Beauty,4,30,120,-80.0
56,31-05-2023,CUST056,Female,26,Clothing,3,300,900,350.0
57,18-11-2023,CUST057,Female,63,Beauty,1,30,30,-98.0
58,13-11-2023,CUST058,Male,18,Clothing,4,300,1200,4700.0
59,05-07-2023,CUST059,Male,62,Clothing,1,50,50,-90.0
60,23-10-2023,CUST060,Male,30,Beauty,3,50,150,200.0
61,09-04-2023,CUST061,Male,21,Beauty,4,50,200,-83.33333333
62,27-12-2023,CUST062,Male,18,Beauty,2,50,100,233.3333333
63,05-02-2023,CUST063,Male,57,Electronics,2,25,50,-66.66666667
64,24-01-2023,CUST064,Male,49,Clothing,4,25,100,-16.66666667
65,05-12-2023,CUST065,Male,51,Electronics,4,500,2000,1233.333333
66,27-04-2023,CUST066,Female,45,Electronics,1,30,30,-85.0
67,29-05-2023,CUST067,Female,48,Beauty,4,300,1200,1500.0
68,10-02-2023,CUST068,Male,25,Electronics,1,300,300,-50.0
69,30-04-2023,CUST069,Female,56,Beauty,3,25,75,25.0
70,21-02-2023,CUST070,Female,43,Clothing,1,300,300,1100.0
71,14-07-2023,CUST071,Female,51,Beauty,4,25,100,0.0
72,23-05-2023,CUST072,Female,20,Electronics,4,500,2000,1900.0
73,21-08-2023,CUST073,Male,29,Electronics,3,30,90,50.0
74,22-11-2023,CUST074,Female,18,Beauty,4,500,2000,122.2222222
75,06-07-2023,CUST075,Male,61,Beauty,4,50,200,-60.0
76,25-03-2023,CUST076,Female,22,Electronics,2,50,100,-90.0
77,09-07-2023,CUST077,Female,47,Clothing,2,50,100,-16.66666667
78,01-07-2023,CUST078,Female,47,Clothing,3,500,1500,1400.0
79,18-04-2023,CUST079,Male,34,Beauty,1,300,300,500.0
80,10-12-2023,CUST080,Female,64,Clothing,2,30,60,-97.0
81,17-05-2023,CUST081,Male,40,Electronics,1,50,50,-97.5
82,26-12-2023,CUST082,Female,32,Beauty,4,50,200,-83.33333333
83,16-12-2023,CUST083,Male,54,Electronics,2,50,100,100.0
84,28-11-2023,CUST084,Female,38,Electronics,3,30,90,-25.0
85,06-02-2023,CUST085,Male,31,Clothing,3,50,150,500.0
86,08-11-2023,CUST086,Male,19,Beauty,3,30,90,-25.0
87,22-11-2023,CUST087,Female,28,Beauty,2,50,100,-95.0
88,29-03-2023,CUST088,Male,56,Clothing,1,500,500,400.0
89,01-10-2023,CUST089,Female,55,Electronics,4,500,2000,300.0
90,06-05-2023,CUST090,Female,51,Electronics,1,30,30,-95.0
91,25-03-2023,CUST091,Female,55,Electronics,1,500,500,1900.0
92,25-08-2023,CUST092,Female,51,Electronics,4,30,120,-40.0
93,14-07-2023,CUST093,Female,35,Beauty,4,500,2000,233.3333333
94,19-05-2023,CUST094,Female,47,Beauty,2,500,1000,1900.0
95,24-11-2023,CUST095,Female,32,Clothing,2,30,60,-60.0
96,19-12-2023,CUST096,Female,44,Clothing,2,300,600,100.0
97,13-10-2023,CUST097,Female,51,Beauty,2,500,1000,900.0
98,23-04-2023,CUST098,Female,55,Beauty,2,50,100,-83.33333333
99,17-12-2023,CUST099,Female,50,Electronics,4,300,1200,300.0
100,16-06-2023,CUST100,Male,41,Electronics,1,30,30,-85.0
101,29-01-2023,CUST101,Male,32,Clothing,2,300,600,566.6666667
102,28-04-2023,CUST102,Female,47,Beauty,2,25,50,-95.83333333
103,17-01-2023,CUST103,Female,59,Clothing,1,25,25,-97.5
104,11-06-2023,CUST104,Female,34,Beauty,2,500,1000,900.0
105,25-07-2023,CUST105,Female,22,Electronics,1,500,500,0.0
106,18-05-2023,CUST106,Female,46,Clothing,1,50,50,-90.0
107,03-02-2023,CUST107,Female,21,Clothing,4,300,1200,3900.0
108,19-04-2023,CUST108,Female,27,Beauty,3,25,75,50.0
109,18-10-2023,CUST109,Female,34,Electronics,4,500,2000,7900.0
110,11-06-2023,CUST110,Male,27,Clothing,3,300,900,200.0
111,19-04-2023,CUST111,Female,34,Electronics,3,500,1500,66.66666667
112,02-12-2023,CUST112,Male,37,Clothing,3,500,1500,2900.0
113,13-09-2023,CUST113,Female,41,Electronics,2,25,50,-75.0
114,22-07-2023,CUST114,Female,22,Beauty,4,25,100,-90.0
115,26-11-2023,CUST115,Male,51,Clothing,3,500,1500,1400.0
116,23-08-2023,CUST116,Female,23,Clothing,1,30,30,-94.0
117,15-03-2023,CUST117,Male,19,Electronics,2,500,1000,900.0
118,16-05-2023,CUST118,Female,30,Electronics,4,500,2000,3900.0
119,13-03-2023,CUST119,Female,60,Clothing,3,50,150,500.0
120,07-05-2023,CUST120,Male,60,Beauty,1,50,50,66.66666667
121,15-10-2023,CUST121,Female,28,Electronics,4,50,200,300.0
122,03-10-2023,CUST122,Male,64,Electronics,4,30,120,-86.66666667
123,15-05-2023,CUST123,Female,40,Electronics,2,30,60,-88.0
124,27-10-2023,CUST124,Male,33,Clothing,4,500,2000,1233.333333
125,08-08-2023,CUST125,Male,48,Clothing,2,50,100,66.66666667
126,26-10-2023,CUST126,Female,28,Clothing,3,30,90,-95.5
127,24-07-2023,CUST127,Female,33,Clothing,2,25,50,-95.0
128,05-07-2023,CUST128,Male,25,Beauty,1,500,500,1566.666667
129,23-04-2023,CUST129,Female,21,Beauty,2,300,600,700.0
130,12-03-2023,CUST130,Female,57,Clothing,1,500,500,0.0
131,18-09-2023,CUST131,Female,21,Beauty,2,300,600,100.0
132,10-09-2023,CUST132,Male,42,Electronics,4,50,200,300.0
133,16-02-2023,CUST133,Male,20,Electronics,3,300,900,200.0
134,25-01-2023,CUST134,Male,49,Electronics,1,50,50,-66.66666667
135,26-02-2023,CUST135,Male,20,Clothing,2,25,50,-50.0
136,20-03-2023,CUST136,Male,44,Electronics,2,300,600,-50.0
137,18-11-2023,CUST137,Male,46,Beauty,2,500,1000,3233.333333
138,23-03-2023,CUST138,Male,49,Clothing,4,50,200,122.2222222
139,15-12-2023,CUST139,Male,36,Beauty,4,500,2000,233.3333333
140,05-08-2023,CUST140,Male,38,Electronics,1,30,30,-94.0
141,02-11-2023,CUST141,Female,22,Electronics,1,50,50,-50.0
142,02-02-2023,CUST142,Male,35,Electronics,4,300,1200,-40.0
143,17-07-2023,CUST143,Female,45,Clothing,1,50,50,-50.0
144,15-07-2023,CUST144,Female,59,Beauty,3,500,1500,0.0
145,02-11-2023,CUST145,Female,39,Clothing,3,25,75,50.0
146,28-08-2023,CUST146,Male,38,Clothing,4,50,200,122.2222222
147,28-09-2023,CUST147,Male,23,Electronics,1,300,300,200.0
148,09-05-2023,CUST148,Male,18,Clothing,2,30,60,-40.0
149,11-10-2023,CUST149,Male,22,Clothing,3,25,75,0.0
150,06-01-2023,CUST150,Female,58,Electronics,4,30,120,-88.0
151,15-12-2023,CUST151,Male,29,Clothing,1,50,50,-97.5
152,28-02-2023,CUST152,Male,43,Electronics,4,500,2000,100.0
153,16-12-2023,CUST153,Male,63,Electronics,2,500,1000,900.0
154,02-10-2023,CUST154,Male,51,Electronics,3,300,900,800.0
155,17-05-2023,CUST155,Male,31,Electronics,4,500,2000,900.0
156,25-11-2023,CUST156,Female,43,Clothing,4,25,100,-88.88888889
157,24-06-2023,CUST157,Male,62,Electronics,4,500,2000,122.2222222
158,27-02-2023,CUST158,Female,44,Electronics,2,300,600,2300.0
159,31-05-2023,CUST159,Male,26,Clothing,4,50,200,122.2222222
160,11-08-2023,CUST160,Female,43,Clothing,2,50,100,-50.0
161,22-03-2023,CUST161,Male,64,Beauty,2,500,1000,566.6666667
162,21-08-2023,CUST162,Male,39,Clothing,2,30,60,-94.0
163,02-01-2023,CUST163,Female,64,Clothing,3,50,150,500.0
164,15-05-2023,CUST164,Female,47,Beauty,3,500,1500,1150.0
165,14-09-2023,CUST165,Female,60,Clothing,4,300,1200,2300.0
166,02-04-2023,CUST166,Male,34,Clothing,4,500,2000,1233.333333
167,17-09-2023,CUST167,Female,43,Clothing,3,50,150,200.0
168,24-02-2023,CUST168,Male,53,Clothing,1,300,300,-75.0
169,17-11-2023,CUST169,Male,18,Beauty,3,500,1500,66.66666667
170,02-06-2023,CUST170,Female,25,Clothing,2,25,50,0.0
171,24-11-2023,CUST171,Female,52,Clothing,3,300,900,1400.0
172,17-09-2023,CUST172,Male,32,Beauty,2,25,50,-97.5
173,08-11-2023,CUST173,Male,64,Electronics,4,30,120,380.0
174,12-04-2023,CUST174,Female,39,Beauty,1,300,300,150.0
175,20-03-2023,CUST175,Female,31,Electronics,4,25,100,-33.33333333
176,11-07-2023,CUST176,Female,43,Beauty,2,50,100,33.33333333
177,24-03-2023,CUST177,Male,45,Beauty,2,50,100,-33.33333333
178,04-10-2023,CUST178,Male,40,Clothing,2,30,60,-97.0
179,29-09-2023,CUST179,Male,31,Electronics,1,300,300,200.0
180,01-01-2023,CUST180,Male,41,Clothing,3,300,900,-40.0
181,03-11-2023,CUST181,Male,19,Electronics,4,300,1200,-20.0
182,15-06-2023,CUST182,Male,62,Beauty,4,30,120,-86.66666667
183,08-09-2023,CUST183,Female,43,Beauty,3,300,900,350.0
184,10-01-2023,CUST184,Male,31,Electronics,4,50,200,566.6666667
185,27-02-2023,CUST185,Male,24,Clothing,1,25,25,-50.0
186,05-07-2023,CUST186,Male,20,Clothing,4,50,200,300.0
187,07-06-2023,CUST187,Female,64,Clothing,2,50,100,100.0
188,03-05-2023,CUST188,Male,40,Clothing,3,25,75,-16.66666667
189,30-01-2023,CUST189,Male,63,Beauty,1,50,50,-44.44444444
190,04-05-2023,CUST190,Female,60,Beauty,3,30,90,200.0
191,18-10-2023,CUST191,Male,64,Beauty,1,25,25,-75.0
192,10-02-2023,CUST192,Male,62,Beauty,2,50,100,-66.66666667
193,13-02-2023,CUST193,Male,35,Beauty,3,500,1500,-25.0
194,06-09-2023,CUST194,Male,55,Clothing,4,50,200,166.6666667
195,05-02-2023,CUST195,Male,52,Clothing,1,30,30,0.0
196,30-09-2023,CUST196,Female,32,Clothing,3,300,900,-55.0
197,06-03-2023,CUST197,Female,42,Clothing,4,50,200,33.33333333
198,07-03-2023,CUST198,Female,54,Beauty,3,300,900,1100.0
199,04-12-2023,CUST199,Male,45,Beauty,3,500,1500,4900.0
200,01-09-2023,CUST200,Male,27,Beauty,3,50,150,-75.0
201,09-10-2023,CUST201,Male,56,Electronics,1,25,25,-79.16666667
202,26-03-2023,CUST202,Female,34,Clothing,4,300,1200,1100.0
203,16-05-2023,CUST203,Male,56,Clothing,2,500,1000,-50.0
204,28-09-2023,CUST204,Male,39,Beauty,1,25,25,-91.66666667
205,07-11-2023,CUST205,Female,43,Clothing,1,25,25,-50.0
206,05-08-2023,CUST206,Male,61,Clothing,1,25,25,-75.0
207,19-04-2023,CUST207,Female,42,Beauty,2,25,50,-96.66666667
208,04-10-2023,CUST208,Female,34,Electronics,4,50,200,-66.66666667
209,20-12-2023,CUST209,Female,30,Electronics,4,50,200,33.33333333
210,13-04-2023,CUST210,Male,37,Electronics,4,50,200,-33.33333333
211,01-01-2024,CUST211,Male,42,Beauty,3,500,1500,2900.0
212,09-06-2023,CUST212,Male,21,Clothing,3,500,1500,650.0
213,24-07-2023,CUST213,Male,27,Beauty,3,500,1500,-25.0
214,10-12-2023,CUST214,Male,20,Beauty,2,30,60,0.0
215,29-11-2023,CUST215,Male,58,Clothing,3,500,1500,5900.0
216,11-07-2023,CUST216,Male,62,Electronics,2,50,100,0.0
217,13-08-2023,CUST217,Female,35,Electronics,4,50,200,66.66666667
218,22-09-2023,CUST218,Male,64,Beauty,3,30,90,80.0
